key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!ghs_great_harmony
def_black_ark	wh2_dlc11_cst_specialist_missile_infantry	monster_beasts
def_sea_dragon	dragon	monster_beasts
dwf_runeguard_catling	wh3_ogr_monstrous_cannon	constructs
ghs_dwf_mon_rune_guard_axe_and_cannon	wh3_ogr_monstrous_pistol	constructs
ghs_dwf_mon_rune_guard_axe_and_shield	wh3_ogr_monstrous_ironfist	constructs
ghs_dwf_mon_rune_guard_dual_hammer	wh3_ogr_monstrous_dual_weapons	constructs
ghs_dwf_mon_rune_guard_giant	wh3_ogr_monstrous_great_weapons	constructs
ghs_tmb_us_great	wh3_ogr_monstrous_great_weapons	monster_beasts
ghs_tmb_us_pistol	wh3_ogr_monstrous_pistol	missile_monster_beasts
lzd_temple	dwf_gyrocopter	artillery_war_machines
missile_flying_chariot	flying_missile_chariot	missile_cavalry_chariots
missile_infantry_gatling_gun	missile_infantry_gatling_gun	missile_infantry
