key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!ovn_grudgebringers
grudgebringer_crossbow	grudgebringer_crossbow	missile_infantry
reiksguard_knights_todbringer	reiksguard_knights_todbringer	cavalry_chariots
grudgebringer_cavalry	grudgebringer_cavalry	cavalry_chariots
carlsson_guard	carlsson_guard	infantry
galed_elf_archers	galed_elf_archers	missile_infantry
treeman_gnarl_fist	treeman_gnarl_fist	monster_beasts
urblab_rotgut_mercenary_ogres	urblab_rotgut_mercenary_ogres	monster_beasts
flagellants_eusebio_the_bleak	flagellants_eusebio_the_bleak	infantry
vannheim_75th	vannheim_75th	cavalry_chariots
dieter_schaeffer_carroburg_greatswords	dieter_schaeffer_carroburg_greatswords	infantry
keelers_longbows	keelers_longbows	missile_infantry
countess_guard	countess_guard	infantry
carlsson_cavalry	carlsson_cavalry	cavalry_chariots
stephan_weiss_outlaw_pistoliers	stephan_weiss_outlaw_pistoliers	cavalry_chariots
jurgen_muntz_outlaw_infantry	jurgen_muntz_outlaw_infantry	infantry
grail_knights_tristan_de_la_tourtristan_de_la_tour	grail_knights_tristan_de_la_tourtristan_de_la_tour	cavalry_chariots
dwarf_envoy_dwarf_warriors	dwarf_envoy_dwarf_warriors	infantry
elrod_wood_elf_glade_guards	elrod_wood_elf_glade_guards	infantry
treeman_knarlroot	treeman_knarlroot	monster_beasts
grudgebringers_wagon	grudgebringers_wagon	missile_cavalry_chariots
black_avangers	black_avangers	infantry
uter_blomkwist_imperial_mortar	uter_blomkwist_imperial_mortar	artillery_war_machines
grudgebringer_infantry	grudgebringer_infantry	infantry
leitdorf_9th_crossbows	leitdorf_9th_crossbows	missile_infantry
emperors_hellblaster_volley_gun	emperors_hellblaster_volley_gun	artillery_war_machines
ragnar_wolves	ragnar_wolves	cavalry_chariots
dargrimm_firebeard_dwarf_warriors	dargrimm_firebeard_dwarf_warriors	infantry
azguz_bloodfist_dwarf_warriors	azguz_bloodfist_dwarf_warriors	infantry
helmgart_bowmen	helmgart_bowmen	missile_infantry
grudgebringer_cannon	grudgebringer_cannon	artillery_war_machines
boris_von_raukov_4th_nuln_halberdiers	boris_von_raukov_4th_nuln_halberdiers	infantry
knights_of_the_realm_bertrand_le_grande	knights_of_the_realm_bertrand_le_grande	cavalry_chariots
