key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!str_skaven_clans
clan_vrrtkin_poison_globe	false	clan_vrrtkin_poison_globe_proj	globe	false
liger_skv_rifle_crewrat	false	liger_skv_rifle_crewrat	repeater_gun	false
str_haematoma_pyroclasts	false	str_haematoma_pyroclasts	warpfiregun	false
str_gnaw_clanrat_net	false	str_gnaw_clanrat_net		false
thom_ferrik_poison_wind_mortar	false	thom_ferrik_poison_wind_mortar	mortar	false
liger_skv_bombs	false	liger_skv_bomb		false
str_gnaw_clanrat_net_precursor	true	str_gnaw_clanrat_net		false
thom_ratling	false	thom_ratling	wh2_dlc12_ratling_gun	false
clan_vrrtkin_death_globe	false	clan_vrrtkin_death_globe_proj	globe	false
thom_ferrik_jezzail	false	thom_ferrik_jezzail	repeater_gun	false
str_haematoma_juggernauts_precursor	true	str_haematoma_juggernauts_precursor		false
clan_vrrtkin_cutthroat	true	clan_vrrtkin_death_globe_proj	globe	false
str_skurvy_gyrobomber	false	str_skurvy_gyrobomber		false
str_verms_wormoil_sling	false	str_verms_wormoil_sling		false
clan_vrrtkin_skavenslave_sling	false	clan_vrrtkin_skavenslave_sling_proj		false
str_verms_spidersilk	false	str_verms_spidersilk		false
liger_skv_rifle_storm	false	liger_skv_rifle_storm	repeater_gun	false
rathan_inf_range_fanatics_missile	false	rathan_inf_range_fanatics_missile	javelin	false
clan_vrrtkin_poison_wind_mortar	false	clan_vrrtkin_poison_wind_mortar_proj	poison_wind_mortar	false
clan_vrrtkin_warpgas	false	clan_vrrtkin_warpgas_proj	globe	false
str_kreepus_gutters_pistol	false	str_kreepus_gutters_pistol	wh2_dlc12_warplock_jezzails	false
str_haematoma_ravagers	false	str_haematoma_ravagers		false
str_gnaw_dagger_flinger	false	wh3_dlc23_chd_hobgoblin_throwing_knife		false
str_haematoma_bombadiers	false	str_haematoma_bombadiers		false
rathan_ratling	false	rathan_ratling	wh2_dlc12_ratling_gun	false
str_ferrik_grenadiers	false	str_ferrik_grenadiers		false
str_kreepus_night_pistol	false	str_kreepus_night_pistol	wh2_dlc12_warplock_jezzails	false
str_verms_scuttler_wep	false	str_verms_scuttler_wep		false
