key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!landmarks_of_legend_wh
hu1c_risen_tzar_guard_greatsword	humanoid01c
vmp_bearded_skull_miners	humanoid03
ethereal_saurus_spears_shields	humanoid07b
dwarf_skeletons_01	humanoid03
hu1_vmp_red_abbey_monks	humanoid01
hu1_vmp_cuileux_knights	humanoid01
hu1d_eonir_spearmen	humanoid01d
hu1_marienburg_spear_shield_pistol	humanoid01
hu1c_risen_strelsti_gun	humanoid01c
ethereal_saurus_clubs_shields	humanoid07b
hu1_vmp_ethereal_swordsmen	humanoid01
