key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!ovn_araby
hc1_enchanted_rope	hybridcreature01
gh4_araby_desert_spirit	ghost04
hu1_araby_cm1_camel_sword_and_bow	humanoid01
hu1_araby_cm1_camel_sword_and_jezzail	humanoid01
gh1_araby_genie	ghost01
hu1b_araby_sea_nymph	humanoid01b
hu1_hr1_arb_javelin_shield	humanoid01
hu1_mirage_spear_and_shield	humanoid01
hu1_arb_corsairs_dual_swords_pistol	humanoid01
hu1_araby_cm1_camel_spear_and_shield	humanoid01
hc7_araby_tempest_djinn	hybridcreature07
hu9b_araby_fire_efreet	humanoid09b
hu2_waghzen_bo1_hippo_club	humanoid02
hu1_araby_fc2_carpet_halberd_and_bow	humanoid01
hu1_arb_dual_hammer_dervish	humanoid01
hu1_arabyan_sword_and_longbow	humanoid01
