key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!ghs_great_harmony
hu13_cth_rocket	humanoid13
ghs_inf_wef_wild_hunter	humanoid01d
hu1c_panda_glaive	humanoid01c
wef_treeman_guard_winter	giant01b
wef_treeman_guard_summer	giant01
wef_treeman_guard_autumn	giant01
tmb_scarab_flying_01	insect01
hu3_dwarf_fly_drakegun	humanoid03
ghs_mon_hef_tree_man_dual_sword	humanoid06e
lzd_pyramid_tepok_01	gyrocopter01
hu3_goat_axe_and_shield	humanoid03
ghs_cav_wef_zoat_rider_thorn_sister	humanoid01b
hu1d_cth_miaodao	humanoid01d
ghs_inf_def_medusa_defender_halberd	snake01
lzd_pyramid_tzunki_01	gyrobomber01
skv_hellpit_warpflame_01	hybridcreature05
dwf_dwfling_mecha	humanoid18b
skv_hellpit_warpdrill_01	hybridcreature05
cth_secret_follower_blade	humanoid01e
ghs_inf_skv_tesla_trooper	humanoid17
hu3_goat_axe_shield_rifle	humanoid03
chd_kdaai_fireborn_halberd	snake01
tmb_ostrich_rider_spear_and_shield	humanoid01
ogr_lioneater	humanoid13
hu1c_wh3_kislev_halberd_and_bomb	humanoid01c
hu6d_chd_elemental_of_beasts	humanoid06d
ghs_cth_jade_lion_rider	humanoid01c
tmb_heavy_ostrich_rider_spear_and_shield	humanoid01
hu3_dwf_crank_gun	humanoid03
ghs_def_inf_khaine_avatar	humanoid01d
skv_hellpit_ratling_01	hybridcreature05
ghs_cav_wef_wild_hunter_knight	humanoid01d
hu1d_cth_moxue_shield	humanoid01d
ghs_hef_fire_dragon_prince	humanoid01d
ogr_crossbow	humanoid03
ghs_def_flying_medusa	bird04
wef_treeman_guard_spring	humanoid04
ghs_hef_ellyrian_reavers_pegasus	humanoid01b
ghs_cth_jet_lion_rider	humanoid01c
hu13_rune_guard_axe_and_shield	humanoid13
dwf_melee_mecha_fist	humanoid18b
dwf_runeguard_catling	humanoid13
dwf_melee_mecha	humanoid18b
hu1_modao	humanoid01
wm_cth_flycompass1	gyrocopter01
hu13_rune_guard_giant	humanoid13
lzd_pyramid_chotec_01	gyrobomber01
kho_blooddragon	dragon01
cth_terracotta_great_axe	humanoid01e
sn1_sea_dragon	snake01
hu10_eighth_legion_axe_and_whip	humanoid10
ghs_dwf_chd_veh_goblin_crusher	locomotive01
ogr_fireman	humanoid03
hu1d_cth_moxue_guandao	humanoid01d
be1_ksl_tor_bear	bear01
hu13_rune_guard_dual_hammer	humanoid13
ghs_inf_sisters_thorn_moonfire_wall_of_thorns	giant01
be1_ksl_salyak_bear	bear01
ghs_hef_cav_lion_rider	humanoid01c
hu13_rune_guard_axe_and_cannon	humanoid13
be1_ksl_dazh_bear	bear01
ksl_kermel_guard_bardiche_and_rifle	humanoid01c
ghs_inf_wef_moonfire_bow	humanoid01b
hu1_jade_blood_dual_swords1	humanoid01b
ghs_inf_def_khaine_sister	humanoid06g
ghs_ksl_cav_alces_rider	humanoid01c
kho_slaughterbrute	hybridcreature03
cth_terracotta_glaive_and_bow	humanoid01
ksl_ice_guard_eagle_rider	humanoid01d
ghs_mon_hef_tree_man_archer	humanoid06e
ghs_cth_cav_moxue_crossbow_longma	humanoid01d
