key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!jade_vamp_pol_IotM
hu1d_jbv2_islanders	humanoid01d
hu1_jbv2_nurses_2	humanoid01
hu1_skeleton_returned_spear	humanoid01
gh1_jbv2_wraith	ghost01
hu1_revenant_sns	humanoid01
gh4_starved	ghost04
hu1_gh_vengeful	humanoid01
hu1_jiangshi	humanoid01
hu1_revenant_halberd	humanoid01
gh4_pale_lady	ghost04
hu2_devil	humanoid02
hu4_gateguardian	humanoid04
hu1_skeleton_returned	humanoid01
hu1e_jbv2_doctor	humanoid01e
hu1_newbloods	humanoid01
hu1_undead_worker	humanoid01
ap1_yaoguai	ape01
hu1_jbv2_nurses	humanoid01
hu4c_mogwai	humanoid04c
hu8c_undead_hag	humanoid08c
hc3_jbv_yurei	hybridcreature03
hu1d_youxia_guandao	humanoid01d
hu1_youxia_gs	humanoid01
hu1_faithfuls_ancient	humanoid01
hu1d_blood_lions	humanoid01d
